"LINK","Ragione.sociale","Indirizzo","Città","Provincia","Regione","Partita.IVA","Codice.Fiscale","REA","ATECO","Attività.prevalente","Fatturato","Utile","Costo.del.personale","N..Dipendenti","CamCom","Forma.giuridica","Anno.Fondazione","Stato.Attività","fatturato_num","utile_num","costo_del_personale_num","min_num_dipendenti","max_num_dipendenti"
"https://www.fatturatoitalia.it/ese_srl-17112421007","ESE S.R.L.","Via Salaria, 1322","ROMA","ROMA","LAZIO",17112421007,17112421007,"RM 1696571","19.20.1","Raffinerie di petrolio","€ 11.327.055.429","€ 134.044.466","€ 13.106.088","da 50 a 99","RM","Societa' a responsabilita' limitata","28/03/2023","Attiva",11327055429,134044466,13106088,50,99
"https://www.fatturatoitalia.it/leonardo_societa_per_azioni-00401990585","LEONARDO - SOCIETA' PER AZIONI","Piazza Monte Grappa, 4","ROMA","ROMA","LAZIO",881841001,401990585,"RM 7031","30.30.09","Fabbricazione di aeromobili, di veicoli spaziali e dei relativi dispositivi nca","€ 10.964.526.991","€ 531.916.959","€ 2.509.000.000","oltre 1000","RM","Societa' per azioni","05/05/1925","Attiva",10964526991,531916959,2.509e+09,1000,Inf
"https://www.fatturatoitalia.it/poste_italiane_societa_per_azioni-97103880585","POSTE ITALIANE - SOCIETA' PER AZIONI","Viale Europa, 190","ROMA","ROMA","LAZIO",1114601006,97103880585,"RM 842633","53.1","Attivita' postali con obbligo di servizio universale","€ 10.503.829.486","€ 1.882.349.708","€ 5.210.769.174","oltre 1000","RM","Societa' per azioni","12/08/1996","Attiva",10503829486,1882349708,5210769174,1000,Inf
"https://www.fatturatoitalia.it/saras_spa_o_in_forma_estesa_saras_spa_raffinerie_sarde-00136440922","SARAS S.P.A. O IN FORMA ESTESA SARAS S.P.A. - RAFFINERIE SARDE",",","SARROCH","CAGLIARI","SARDEGNA",136440922,136440922,"CA 49540","19.20.1","Raffinerie di petrolio","€ 9.614.379.000","€ -112.039.000","€ 45.356.000","da 250 a 499","CA","Societa' per azioni","26/06/1962","Attiva",9614379000,-112039000,45356000,250,499
"https://www.fatturatoitalia.it/telecom_italia_spa_o_tim_spa-00488410010","TELECOM ITALIA SPA O TIM S.P.A.","Via Gaetano Negri, 1","MILANO","MILANO","LOMBARDIA",488410010,488410010,"MI 1580695","61","Telecomunicazioni","€ 9.218.214.372","€ -1.242.499.280","€ 910.119.365","oltre 1000","MI","Societa' per azioni","05/08/2003","Attiva",9218214372,-1242499280,910119365,1000,Inf
"https://www.fatturatoitalia.it/esselunga_spa-01255720169","ESSELUNGA SPA","Via Vittor Pisani, 20","MILANO","MILANO","LOMBARDIA",4916380159,1255720169,"MI 1063068","47.11","Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande","€ 9.112.444.447","€ 5.562.241","€ 1.169.854.668","oltre 1000","MI","Societa' per azioni","03/03/1981","Attiva",9112444447,5562241,1169854668,1000,Inf
"https://www.fatturatoitalia.it/a2a_spa-11957540153","A2A S.P.A.","Via Lamarmora, 230","BRESCIA","BRESCIA","LOMBARDIA",11957540153,11957540153,"BS 493995","35.11","Produzione di energia elettrica","€ 8.700.014.382","€ 788.384.491","€ 212.858.576","oltre 1000","BS","Societa' per azioni","07/03/2008","Attiva",8700014382,788384491,212858576,1000,Inf
"https://www.fatturatoitalia.it/hsr_italia_srl-03315430235","HSR ITALIA S.R.L.","Via Barsanti, 9","VERONA","VERONA","VENETO",3315430235,3315430235,"VR 326543","46.74.2","Commercio all'ingrosso di apparecchi e accessori per impianti idraulici, di riscaldamento e di condizionamento","€ 8.626.235.000","€ 777.000","€ 1.946.432.000","da 20 a 49","VR","Societa' a responsabilita' limitata","26/05/2003","Attiva",8626235000,777000,1946432000,20,49
"https://www.fatturatoitalia.it/isab_srl-01629050897","ISAB S.R.L.","Ex S.s. 114 Km 146, SNC","PRIOLO GARGALLO","SIRACUSA","SICILIA",1629050897,1629050897,"SR 136409","19.20.1","Raffinerie di petrolio","€ 8.143.098.945","€ -75.347.574","€ 92.079.830","oltre 1000","SR","Societa' a responsabilita' limitata","23/09/2008","Attiva",8143098945,-75347574,92079830,1000,Inf
"https://www.fatturatoitalia.it/e_distribuzione_spa-05779711000","E-DISTRIBUZIONE S.P.A.","Via Domenico Cimarosa, 4","ROMA","ROMA","LAZIO",5779711000,5779711000,"RM 922436","35.13","Distribuzione di energia elettrica","€ 7.990.967.769","€ 2.381.974.002","€ 1.686.015.266","oltre 1000","RM","Societa' per azioni con socio unico","05/07/1999","Attiva",7990967769,2381974002,1686015266,1000,Inf
"https://www.fatturatoitalia.it/volkswagen_group_italia_societa_per_azioni_oppure_in_forma_abbreviata_-07649360158","VOLKSWAGEN GROUP ITALIA SOCIETA PER AZIONI (OPPURE - IN FORMA ABBREVIATA - VOLKSWAGEN GROUP ITALIA S.P.A.)","Viale Gerard Richard Gumpert, 1","VERONA","VERONA","VENETO",1779120235,7649360158,"VR 195899","45.11.01","Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri","€ 7.699.713.081","€ 57.648.484","€ 68.009.115","da 500 a 999","VR","Societa' per azioni","28/05/1985","Attiva",7699713081,57648484,68009115,500,999
"https://www.fatturatoitalia.it/engie_italia_spa-06289781004","ENGIE ITALIA SPA","Via Chiese, 72","MILANO","MILANO","LOMBARDIA",6289781004,6289781004,"MI 1817090","71.12.1","Attivita' degli studi di ingegneria","€ 7.500.614.436","€ 81.241.135","€ 52.403.313","da 500 a 999","MI","Societa' per azioni","06/09/2016","Attiva",7500614436,81241135,52403313,500,999
"https://www.fatturatoitalia.it/italiana_petroli_spa-00051570893","ITALIANA PETROLI S.P.A.","Via Salaria, 1322","ROMA","ROMA","LAZIO",51570893,51570893,"RM 740950","19.20.1","Raffinerie di petrolio","€ 7.367.922.100","€ 713.762.571","€ 85.702.317","da 500 a 999","RM","Societa' per azioni","17/12/1991","Attiva",7367922100,713762571,85702317,500,999
"https://www.fatturatoitalia.it/lidl_italia_srl-02275030233","LIDL ITALIA S.R.L.","Via Augusto Ruffo, 36","ARCOLE","VERONA","VENETO",2275030233,2275030233,"VR 228845","46.9","Commercio all'ingrosso non specializzato","€ 7.158.326.489","€ 193.932.382","€ 673.251.132","oltre 1000","VR","Societa' a responsabilita' limitata","26/04/1991","Attiva",7158326489,193932382,673251132,1000,Inf
"https://www.fatturatoitalia.it/iveco_spa-09709770011","IVECO S.P.A.","Via Puglia, 35","TORINO","TORINO","PIEMONTE",9709770011,9709770011,"TO 1074767","29.1","Fabbricazione di autoveicoli","€ 7.065.384.954","€ 36.938.050","€ 489.729.434","oltre 1000","TO","Societa' per azioni","08/11/2007","Attiva",7065384954,36938050,489729434,1000,Inf
"https://www.fatturatoitalia.it/eni_plenitude_spa_societa_benefit-12300020158","ENI PLENITUDE S.P.A. SOCIETA' BENEFIT","Via Giovanni Lorenzini, 4","MILANO","MILANO","LOMBARDIA",12300020158,12300020158,"MI 1544762","35.23","Commercio di gas distribuito mediante condotte","€ 7.064.842.193","€ 423.111.120","€ 133.150.398","oltre 1000","MI","Societa' per azioni","13/01/1998","Attiva",7064842193,423111120,133150398,1000,Inf
"https://www.fatturatoitalia.it/hera_trading_srl-02060500390","HERA TRADING S.R.L.","Via Del Teatro, 5","TRIESTE","TRIESTE","FRIULI VENEZIA GIULIA",2060500390,2060500390,"TS 133985","35.23","Commercio di gas distribuito mediante condotte","€ 6.720.344.223","€ 2.161.061","€ 3.557.122","da 20 a 49","TS","Societa' a responsabilita' limitata","01/01/2013","Attiva",6720344223,2161061,3557122,20,49
"https://www.fatturatoitalia.it/omv_supply_trading_italia_srl-01319940324","OMV SUPPLY & TRADING ITALIA S.R.L.","Via Cesare Beccaria, 13","TRIESTE","TRIESTE","FRIULI VENEZIA GIULIA",1319940324,1319940324,"TS 204004","46.71","Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","€ 6.667.869.572","€ -10.890.515","N.D.","","TS","Societa' a responsabilita' limitata","27/12/2018","Attiva",6667869572,-10890515,NA,0,0
"https://www.fatturatoitalia.it/edison_energia_spa-08526440154","EDISON ENERGIA S.P.A.","Foro Buonaparte, 31","MILANO","MILANO","LOMBARDIA",8526440154,8526440154,"MI 1229342","35.14","Commercio di energia elettrica","€ 6.389.410.221","€ 90.814.848","€ 41.765.948","da 500 a 999","MI","Societa' per azioni","04/12/1986","Attiva",6389410221,90814848,41765948,500,999
"https://www.fatturatoitalia.it/ferrari_societa_per_azioni_esercizio_fabbriche_automobili_e_corse_o_se-00159560366","FERRARI-SOCIETA'PER AZIONI ESERCIZIO FABBRICHE AUTOMOBILI E CORSE O SEMPLICEMENTE: FERRARI S.P.A.","Via Emilia Est, 1163","MODENA","MODENA","EMILIA ROMAGNA",159560366,159560366,"MO 88683","29.1","Fabbricazione di autoveicoli","€ 6.284.626.802","€ 1.556.213.265","€ 578.929.434","oltre 1000","MO","Societa' per azioni","21/06/1960","Registrata",6284626802,1556213265,578929434,1000,Inf
"https://www.fatturatoitalia.it/enel_produzione_spa-05617841001","ENEL PRODUZIONE S.P.A.","Via Luigi Boccherini, 15","ROMA","ROMA","LAZIO",5617841001,5617841001,"RM 904803","35.11","Produzione di energia elettrica","€ 6.279.569.647","€ 455.284.345","€ 222.104.758","oltre 1000","RM","Societa' per azioni con socio unico","29/10/1998","Attiva",6279569647,455284345,222104758,1000,Inf
"https://www.fatturatoitalia.it/chimet_spa-00155440514","CHIMET - S.P.A.-","Via Dei Laghi, 31/33","CIVITELLA IN VAL DI CHIANA","AREZZO","TOSCANA",155440514,155440514,"AR 61012","24.4","Produzione di metalli di base preziosi e altri metalli non ferrosi, trattamento dei combustibili nucleari","€ 6.056.830.238","€ 22.816.744","€ 9.646.740","da 100 a 199","AR","Societa' per azioni","30/04/1974","Attiva",6056830238,22816744,9646740,100,199
"https://www.fatturatoitalia.it/trenitalia_spa-05403151003","TRENITALIA S.P.A.","Piazza Della Croce Rossa, 1","ROMA","ROMA","LAZIO",5403151003,5403151003,"RM 883047","49.1","Trasporto ferroviario di passeggeri (onterurbano)","€ 5.883.736.789","€ 155.272.409","€ 1.608.450.981","oltre 1000","RM","Societa' per azioni con socio unico","24/11/1997","Attiva",5883736789,155272409,1608450981,1000,Inf
"https://www.fatturatoitalia.it/a2a_energia_spa-12883420155","A2A ENERGIA S.P.A.","Corso Di Porta Vittoria, 4","MILANO","MILANO","LOMBARDIA",12883420155,12883420155,"MI 1592687","35.14","Commercio di energia elettrica","€ 5.879.432.684","€ 199.764.014","€ 51.074.157","da 500 a 999","MI","Societa' per azioni","06/08/1999","Attiva",5879432684,199764014,51074157,500,999
"https://www.fatturatoitalia.it/saipem_spa-00825790157","SAIPEM S.P.A.","Via Luigi Russolo, 5","MILANO","MILANO","LOMBARDIA",825790157,825790157,"MI 788744","41.2","Costruzione di edifici residenziali e non residenziali","€ 5.871.918.220","€ 278.498.190","€ 742.080.401","oltre 1000","MI","Societa' per azioni","10/09/1969","Attiva",5871918220,278498190,742080401,1000,Inf
"https://www.fatturatoitalia.it/sonatrach_raffineria_italiana_srl-10410680960","SONATRACH RAFFINERIA ITALIANA S.R.L.","Via Alessandro Manzoni, 38","MILANO","MILANO","LOMBARDIA",10410680960,10410680960,"MI 2529184","19.2","Fabbricazione di prodotti derivanti dalla raffinazione del petrolio","€ 5.852.126.463","€ -36.326.220","€ 75.132.487","da 500 a 999","MI","Societa' a responsabilita' limitata","04/07/2018","Attiva",5852126463,-36326220,75132487,500,999
"https://www.fatturatoitalia.it/hera_comm_spa-02221101203","HERA COMM S.P.A.","Via Molino Rosso, 8","IMOLA","BOLOGNA","EMILIA ROMAGNA",2221101203,2221101203,"BO 421914","35.23","Commercio di gas distribuito mediante condotte","€ 5.845.733.766","€ 239.773.018","€ 45.748.786","da 500 a 999","BO","Societa' per azioni","27/11/2001","Attiva",5845733766,239773018,45748786,500,999
"https://www.fatturatoitalia.it/autostrade_per_l_italia_spa-07516911000","AUTOSTRADE PER L'ITALIA S.P.A.","Via Alberto Bergamini, 50","ROMA","ROMA","LAZIO",7516911000,7516911000,"RM 1037417","52.21.2","Gestione di strade, ponti, gallerie","€ 5.453.641.160","€ 1.026.694.307","€ 436.646.745","oltre 1000","RM","Societa' per azioni","12/05/2003","Attiva",5453641160,1026694307,436646745,1000,Inf
"https://www.fatturatoitalia.it/acciaierie_d_italia_spa-10354890963","ACCIAIERIE D'ITALIA S.P.A.","Viale Certosa, 239","MILANO","MILANO","LOMBARDIA",10354890963,10354890963,"MI 2525101","24.1","Siderurgia","€ 5.426.929.109","€ 68.483.338","€ 339.913.302","oltre 1000","MI","Societa' per azioni","22/05/2018","Attiva",5426929109,68483338,339913302,1000,Inf
"https://www.fatturatoitalia.it/nuovo_pignone_international_srl-04880930484","NUOVO PIGNONE INTERNATIONAL S.R.L.","Via Felice Matteucci, 2","FIRENZE","FIRENZE","TOSCANA",4880930484,4880930484,"FI 496890","28.29.2","Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)","€ 5.383.064.125","€ 292.613.937","€ 353.947.635","oltre 1000","FI","Societa' a responsabilita' limitata","19/05/1998","Attiva",5383064125,292613937,353947635,1000,Inf
"https://www.fatturatoitalia.it/webuild_spa-00830660155","WEBUILD S.P.A.","Centro Direzionale Milanofiori, SNC","ROZZANO","MILANO","LOMBARDIA",2895590962,830660155,"MI 525502","42.12","Costruzione di linee ferroviarie e metropolitane","€ 5.123.434.422","€ 80.752.276","€ 627.005.363","oltre 1000","MI","Societa' per azioni","09/02/1959","Attiva",5123434422,80752276,627005363,1000,Inf
"https://www.fatturatoitalia.it/vodafone_italia_spa-93026890017","VODAFONE ITALIA S.P.A.","Via Jervis, 13","IVREA","TORINO","PIEMONTE",8539010010,93026890017,"TO 974956","61","Telecomunicazioni","€ 4.753.972.347","€ -392.520.944","€ 455.162.317","oltre 1000","TO","Societa' per azioni","18/06/2002","Attiva",4753972347,-392520944,455162317,1000,Inf
"https://www.fatturatoitalia.it/costa_crociere_spa-02545900108","COSTA CROCIERE S.P.A.","Piazza Piccapietra, 48","GENOVA","GENOVA","LIGURIA",2545900108,2545900108,"GE 279842","50.1","Trasporto marittimo e costiero di passeggeri","€ 4.699.298.493","€ 937.751.088","€ 411.790.000","oltre 1000","GE","Societa' per azioni","07/02/1984","Attiva",4699298493,937751088,411790000,1000,Inf
"https://www.fatturatoitalia.it/axpo_italia_spa-01141160992","AXPO ITALIA S.P.A.","Via Quattro Novembre, 149","ROMA","ROMA","LAZIO",1141160992,1141160992,"RM 987225","35.14","Commercio di energia elettrica","€ 4.500.695.776","€ 227.289.589","€ 52.937.521","da 250 a 499","RM","Societa' per azioni","30/04/2018","Attiva",4500695776,227289589,52937521,250,499
"https://www.fatturatoitalia.it/tecnimont_spa-01628410159","TECNIMONT S.P.A.","Via Gaetano De Castillia, 6/A","MILANO","MILANO","LOMBARDIA",1628410159,1628410159,"MI 574643","71.12.1","Attivita' degli studi di ingegneria","€ 4.474.265.130","€ 217.124.115","€ 302.895.016","oltre 1000","MI","Societa' per azioni","23/11/1960","Attiva",4474265130,217124115,302895016,1000,Inf
"https://www.fatturatoitalia.it/pirelli_tyre_spa-07211330159","PIRELLI TYRE SPA","Viale Piero E Alberto Pirelli, 25","MILANO","MILANO","LOMBARDIA",7211330159,7211330159,"MI 1147607","","","€ 4.378.938.646","€ 262.621.142","€ 133.536.634","","MI","Societa' per azioni","13/02/1984","Attiva",4378938646,262621142,133536634,0,0
"https://www.fatturatoitalia.it/aia_agricola_italiana_alimentare_spa-00233470236","A.I.A. - AGRICOLA ITALIANA ALIMENTARE - S.P.A.","Piazzale Apollinare Veronesi, 1","SAN MARTINO BUON ALBERGO","VERONA","VENETO",233470236,233470236,"VR 110039","46.32.1","Commercio all'ingrosso di carne fresca, congelata e surgelata","€ 4.377.589.010","€ 7.152.446","€ 63.309.487","da 500 a 999","VR","Societa' per azioni","06/06/1967","Registrata",4377589010,7152446,63309487,500,999
"https://www.fatturatoitalia.it/luxottica_group_spa-00891030272","LUXOTTICA GROUP SPA","Piazzale Luigi Cadorna, 3","MILANO","MILANO","LOMBARDIA",10182640150,891030272,"MI 1348098","46.43.3","Commercio all'ingrosso di articoli per fotografia, cinematografia e ottica","€ 4.357.524.998","€ 838.062.437","€ 356.222.539","oltre 1000","MI","Societa' per azioni","31/10/1990","Attiva",4357524998,838062437,356222539,1000,Inf
"https://www.fatturatoitalia.it/groupe_psa_italia_spa-00882090152","GROUPE PSA ITALIA S.P.A.","Via Plava, 80","TORINO","TORINO","PIEMONTE",882090152,882090152,"TO 1297722","45.11.01","Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri","€ 4.344.716.308","€ 20.446.168","€ 37.127.817","da 100 a 199","TO","Societa' per azioni","11/11/2021","Attiva",4344716308,20446168,37127817,100,199
"https://www.fatturatoitalia.it/logista_italia_spa-06741351008","LOGISTA ITALIA S.P.A.","Via Valadier, 37","ROMA","ROMA","LAZIO",6741351008,6741351008,"RM 986948","46.35","Commercio all'ingrosso di prodotti del tabacco","€ 4.273.665.836","€ 132.271.132","€ 43.212.706","da 500 a 999","RM","Societa' per azioni","21/09/2001","Attiva",4273665836,132271132,43212706,500,999
"https://www.fatturatoitalia.it/pac_2000_a_societa_cooperativa-00163040546","PAC 2000 A SOCIETA' COOPERATIVA","Via Del Rame, SNC","PERUGIA","PERUGIA","UMBRIA",163040546,163040546,"PG 98419","46.38.9","Commercio all'ingrosso di altri prodotti alimentari","","","","","PG","Societa' cooperativa","21/07/1972","Attiva",NA,NA,NA,0,0
"https://www.fatturatoitalia.it/anas_societa_per_azioni-80208450587","ANAS - SOCIETA' PER AZIONI","Via Monzambano, 10","ROMA","ROMA","LAZIO",2133681003,80208450587,"RM 1024951","52.21.2","Gestione di strade, ponti, gallerie","€ 4.182.372.483","€ -92.010.657","€ 548.335.897","oltre 1000","RM","Societa' per azioni","27/12/2002","Attiva",4182372483,-92010657,548335897,1000,Inf
"https://www.fatturatoitalia.it/nuovo_pignone_srl-06176750484","NUOVO PIGNONE S.R.L.","Via F.matteucci, 2","FIRENZE","FIRENZE","TOSCANA",6176750484,6176750484,"FI 606899","28.29.2","Fabbricazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere (incluse parti e accessori)","€ 4.128.226.792","€ 61.481.473","€ 164.068.399","oltre 1000","FI","Societa' a responsabilita' limitata","18/07/2011","Attiva",4128226792,61481473,164068399,1000,Inf
"https://www.fatturatoitalia.it/renault_italia_spa-00291240638","RENAULT ITALIA S.P.A.","Via Tiburtina, 1159","ROMA","ROMA","LAZIO",5811161008,291240638,"RM 273440","45.11.01","Commercio all'ingrosso e al dettaglio di autovetture e di autoveicoli leggeri","€ 4.054.135.740","€ 50.086.579","€ 25.131.373","da 200 a 249","RM","Societa' per azioni","06/11/1963","Registrata",4054135740,50086579,25131373,200,249
"https://www.fatturatoitalia.it/wind_tre_spa-02517580920","WIND TRE S.P.A.","Via Monte Rosa, 91","MILANO","MILANO","LOMBARDIA",13378520152,2517580920,"MI 1638878","61.2","Telecomunicazioni mobili","€ 3.988.000.000","€ -112.000.000","€ 419.000.000","oltre 1000","MI","Societa' per azioni","05/04/2001","Attiva",3.988e+09,-1.12e+08,4.19e+08,1000,Inf
"https://www.fatturatoitalia.it/italpreziosi_spa-01111420517","ITALPREZIOSI S.P.A.","Localita' San Zeno Strada A, 32","AREZZO","AREZZO","TOSCANA",1111420517,1111420517,"AR 83621","24.41","Produzione di metalli preziosi","€ 3.942.513.492","€ 2.582.153","€ 4.297.484","da 50 a 99","AR","Societa' per azioni","02/04/1984","Attiva",3942513492,2582153,4297484,50,99
"https://www.fatturatoitalia.it/coop_alleanza_30_societa_cooperativa-03503411203","COOP ALLEANZA 3.0 SOCIETA' COOPERATIVA","Via Villanova, 29/7","CASTENASO","BOLOGNA","EMILIA ROMAGNA",3503411203,3503411203,"BO 524364","47.11.2","Supermercati","","","","","BO","Societa' cooperativa","01/01/2016","Attiva",NA,NA,NA,0,0
"https://www.fatturatoitalia.it/enimoov_spa-02701740108","ENIMOOV S.P.A.","Viale Giorgio Ribotta, 51","ROMA","ROMA","LAZIO",2701740108,2701740108,"RM 904784","46.71","Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","€ 3.860.571.505","€ 77.946.136","€ 13.414.539","da 100 a 199","RM","Societa' per azioni","13/12/2002","Attiva",3860571505,77946136,13414539,100,199
"https://www.fatturatoitalia.it/sevel_spa_societa_europea_veicoli_leggeri-00297220691","SEVEL SPA SOCIETA' EUROPEA VEICOLI LEGGERI","Viale Avv. Giovanni Agnelli, 10","ATESSA","CHIETI","ABRUZZO",297220691,297220691,"CH 67521","29.1","Fabbricazione di autoveicoli","€ 3.828.107.766","€ 21.972.326","€ 263.033.217","oltre 1000","CH","Societa' per azioni","17/11/1978","Attiva",3828107766,21972326,263033217,1000,Inf
"https://www.fatturatoitalia.it/fincantieri_spa-00397130584","FINCANTIERI S.P.A.","Via Genova, 1","TRIESTE","TRIESTE","FRIULI VENEZIA GIULIA",629440322,397130584,"TS 89063","30.11.02","Cantieri navali per costruzioni metalliche e non metalliche (esclusi i sedili per navi)","€ 3.792.580.246","€ 37.091.390","€ 689.967.246","oltre 1000","TS","Societa' per azioni","06/07/1984","Attiva",3792580246,37091390,689967246,1000,Inf
"https://www.fatturatoitalia.it/q8_quaser_srl-00295420632","Q8 QUASER S.R.L.","Viale Dell'oceano Indiano, 13","ROMA","ROMA","LAZIO",6543251000,295420632,"RM 973923","46.71","Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati","€ 3.745.215.298","€ 52.247.931","€ 7.629.284","da 50 a 99","RM","Societa' a responsabilita' limitata","04/04/2001","Attiva",3745215298,52247931,7629284,50,99
"https://www.fatturatoitalia.it/bmw_italia_spa-01934110154","BMW ITALIA SPA","Via Della Unione Europea, 1","SAN DONATO MILANESE","MILANO","LOMBARDIA",12532500159,1934110154,"MI 1403223","45.11","Commercio di autovetture e di autoveicoli leggeri","€ 3.649.413.964","€ 90.227.784","€ 31.029.265","da 250 a 499","MI","Societa' per azioni con socio unico","11/09/1998","Attiva",3649413964,90227784,31029265,250,499
"https://www.fatturatoitalia.it/gs_spa-00295960637","GS SPA","Via Bisceglie, 66","MILANO","MILANO","LOMBARDIA",12683790153,295960637,"MI 1396833","47.11","Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande","€ 3.633.719.298","€ -93.456.032","€ 456.427.055","oltre 1000","MI","Societa' per azioni","26/01/1999","Attiva",3633719298,-93456032,456427055,1000,Inf
"https://www.fatturatoitalia.it/md_spa-03185210618","MD S.P.A.","Zona Industriale A.s.i. Capannone N.18, .","GRICIGNANO DI AVERSA","CASERTA","CAMPANIA",3185210618,3185210618,"CE 224859","47.11","Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande","€ 3.605.825.597","€ 81.195.869","€ 300.311.280","oltre 1000","CE","Societa' per azioni","03/11/2005","Attiva",3605825597,81195869,300311280,1000,Inf
