Ragione.sociale,Città,Provincia,Regione,Attività.prevalente,Fatturato,N..Dipendenti,Forma.giuridica,Anno.Fondazione,fatturato_num,utile_num,costo_del_personale_num,min_num_dipendenti,max_num_dipendenti
ACCADEMIA DEL 'TE L'AVEVO DETTO' S.P.A.,TORINO,TORINO,PIEMONTE,Alta formazione in senno di poi e sentenze postume,€ 11.500.000,da 50 a 99,Società per azioni,1988,11500000,4000000,3500000,50,99
MINISTERO DELLE CAUSE PERSE S.R.L.,NAPOLI,NAPOLI,CAMPANIA,Studio legale specializzato in battaglie contro i mulini a vento,€ 5.400.000,da 100 a 199,Società a responsabilità limitata,1992,5400000,-200000,4000000,100,199
FABBRICA DI SOLUZIONI A PROBLEMI INESISTENTI S.P.A.,MILANO,MILANO,LOMBARDIA,Invenzione di gadget che complicano la vita,€ 22.000.000,da 200 a 499,Società per azioni,2014,22000000,8000000,6500000,200,499
DISTRIBUZIONE DI CARBOIDRATI DOPO MEZZANOTTE S.R.L.,BOLOGNA,BOLOGNA,EMILIA-ROMAGNA,Consegna d'urgenza di cornetti caldi e bomboloni,€ 7.800.000,da 50 a 99,Società a responsabilità limitata,2008,7800000,2500000,3000000,50,99
MANUTENZIONE CASTELLI IN ARIA S.P.A.,VENEZIA,VENEZIA,VENETO,Ristrutturazione di illusioni e sogni a occhi aperti,€ 14.200.000,da 100 a 199,Società per azioni,1999,14200000,3100000,5500000,100,199
CENTRO NAZIONALE DELLO SCONGIURO S.R.L.,NAPOLI,NAPOLI,CAMPANIA,Produzione e collaudo di cornetti rossi antisfiga,€ 3.500.000,da 20 a 49,Società a responsabilità limitata,1970,3500000,900000,1200000,20,49
SPEDIZIONI TRAMITE PICCIONE VIAGGIATORE S.P.A.,SIENA,SIENA,TOSCANA,Servizio postale a lentissima velocità ed alta inaffidabilità,€ 9.000.000,da 500 a 999,Società per azioni,1850,9000000,-500000,8000000,500,999
ISTITUTO SUPERIORE DI MAGIA E STREGONERIA S.R.L.,TORINO,TORINO,PIEMONTE,Corsi serali per l'uso corretto della bacchetta magica,€ 6.600.000,da 50 a 99,Società a responsabilità limitata,2001,6600000,1800000,2500000,50,99
AGENZIA PER LA COMPLICAZIONE AFFARI SEMPLICI S.P.A.,ROMA,ROMA,LAZIO,Aggiunta di moduli inutili a pratiche già risolte,€ 80.000.000,oltre 1000,Società per azioni,1948,80000000,25000000,40000000,1000,Inf
SERVIZIO RECUPERO PASSWORD DIMENTICATE S.R.L.,MILANO,MILANO,LOMBARDIA,Tentativi di indovinare il nome del tuo primo animale domestico,€ 18.500.000,da 200 a 499,Società a responsabilità limitata,2010,18500000,6200000,8000000,200,499
MULTINAZIONALE DEL 'FA LO STESSO' S.P.A.,BOLOGNA,BOLOGNA,EMILIA-ROMAGNA,Holding del menefreghismo aziendale applicato,€ 55.000.000,da 500 a 999,Società per azioni,1982,55000000,20000000,15000000,500,999
OFFICINA RIPARAZIONE CUORI INFRANTI S.R.L.,VERONA,VERONA,VENETO,Riparazioni con nastro adesivo emotivo e cioccolato,€ 4.200.000,da 20 a 49,Società a responsabilità limitata,1995,4200000,850000,2000000,20,49
CONSULENTI PER SCELTE SBAGLIATE S.P.A.,MILANO,MILANO,LOMBARDIA,Indirizzamento strategico verso il fallimento sicuro,€ 12.800.000,da 100 a 199,Società per azioni,2005,12800000,5000000,4500000,100,199
ASSOCIAZIONE PORTATORI SANI DI SFIGA S.R.L.,NAPOLI,NAPOLI,CAMPANIA,Distribuzione di iella certificata e garantita,€ 2.100.000,da 10 a 19,Società a responsabilità limitata,1917,2100000,400000,1100000,10,19
COOPERATIVA 'SPERIAMO BENE' S.C.A.R.L.,PALERMO,PALERMO,SICILIA,Edilizia basata unicamente sulla fede e l'ottimismo,€ 7.500.000,da 50 a 99,Società cooperativa,1992,7500000,150000,5000000,50,99
ALLEVAMENTO DRAGHI SPUTAFUOCO S.R.L.,CATANIA,CATANIA,SICILIA,Riproduzione e addestramento rettili ad alta temperatura,€ 28.000.000,da 200 a 499,Società a responsabilità limitata,2013,28000000,9500000,12000000,200,499
IMPRESA COSTRUZIONI PONTI SULLO STRETTO S.P.A.,MESSINA,MESSINA,SICILIA,Progettazione teorica di infrastrutture mitologiche,€ 150.000.000,oltre 1000,Società per azioni,1971,150000000,80000000,50000000,1000,Inf
SQUADRA RECUPERO MATITE CADUTE S.R.L.,TORINO,TORINO,PIEMONTE,Recupero estremo di cancelleria finita sotto i mobili,€ 900.00,da 10 a 19,Società a responsabilità limitata,2016,900000,100000,700000,10,19
OSSERVATORIO SUL METEO DEL LUNEDI' MATTINA S.P.A.,GENOVA,GENOVA,LIGURIA,Previsione accurata di acquazzoni solo per chi va al lavoro,€ 5.500.000,da 50 a 99,Società per azioni,1989,5500000,2000000,2500000,50,99
CENTRO STUDI SUL GABIBBO S.R.L.,MILANO,MILANO,LOMBARDIA,Analisi filologica della lingua di Cologno Monzese,€ 1.500.000,da 10 a 19,Società a responsabilità limitata,1990,1500000,300000,800000,10,19
ACCADEMIA DELLA CARBONARA SENZA PANNA S.P.A.,ROMA,ROMA,LAZIO,Rieducazione culinaria intensiva per turisti stranieri,€ 16.000.000,da 200 a 499,Società per azioni,1954,16000000,7500000,5000000,200,499
ISTITUTO RICERCA SULL'ACQUA CALDA S.R.L.,TRIESTE,TRIESTE,FRIULI-VENEZIA GIULIA,Brevettazione di invenzioni già esistenti da millenni,€ 3.800.000,da 50 a 99,Società a responsabilità limitata,2000,3800000,400000,2900000,50,99
ENTE NAZIONALE PER IL LANCIO DEL COCOMERO S.P.A.,BARI,BARI,PUGLIA,Organizzazione di discipline olimpiche estive non riconosciute,€ 7.200.000,da 100 a 199,Società per azioni,1985,7200000,1500000,4000000,100,199
FORNITURE NEBBIA PADANA S.R.L.,MANTOVA,MANTOVA,LOMBARDIA,Imbottigliamento ed esportazione di clima uggioso,€ 5.900.000,da 50 a 99,Società a responsabilità limitata,1978,5900000,1100000,3500000,50,99
AGENZIA ATTORI CANI S.P.A.,ROMA,ROMA,LAZIO,Scrittura di interpreti pessimi per fiction televisive,€ 21.000.000,da 200 a 499,Società per azioni,1994,21000000,9000000,8500000,200,499
RACCOGLITORI DI FOGLIE AUTUNNALI S.R.L.,TRENTO,TRENTO,TRENTINO-ALTO ADIGE,Spostamento di fogliame da una parte all'altra della strada,€ 1.100.000,da 20 a 49,Società a responsabilità limitata,2015,1100000,50000,950000,20,49
SISTEMATIZZATORI DI PRESEPI S.P.A.,NAPOLI,NAPOLI,CAMPANIA,Consulenza strategica per il posizionamento del muschio,€ 9.800.000,da 100 a 199,Società per azioni,1966,9800000,4200000,3800000,100,199
